fold,model,calibration,success,intercept,coef,a,b_raw,n_thresholds,theta,alpha,beta_inner,b,nll_fit,aic,bic,lambda_left,lambda_right,selection_logloss
1,logistic,raw,True,,,,,,,,,,,,,,,
1,logistic,platt,True,-3.467967447734885,0.8198569744786791,,,,,,,,,,,,,
1,logistic,beta,True,-2.201853230556332,,2.1368644463854647,-0.4133685669413913,,,,,,,,,,,
1,logistic,isotonic,True,,,,,62.0,,,,,,,,,,
1,logistic,bgb,True,,,7.464433354702881,,,-0.16060633979117914,0.08170069179240877,0.8579699051661938,0.00011256495130612636,2465.8251659494263,4941.6503318988525,4981.167769661533,,,
1,logistic,opbgb_symmetric,True,,,,,,,,,,,,,0.5,0.5,0.1352643532925123
1,logistic,opbgb_two_sided,True,,,,,,,,,,,,,0.2,1.0,0.13429011394686413
1,logistic,nested_selected,True,,,,,,,,,,,,,0.2,1.0,0.13429011394686413
1,lightgbm,raw,True,,,,,,,,,,,,,,,
1,lightgbm,platt,True,-2.959530595543146,1.30020638154687,,,,,,,,,,,,,
1,lightgbm,beta,True,-3.1241272476487287,,1.1918254597135811,-1.380103379541083,,,,,,,,,,,
1,lightgbm,isotonic,True,,,,,86.0,,,,,,,,,,
1,lightgbm,bgb,True,,,1.2703601373906077,,,-3.1287932577097313,0.9372981637956052,0.9783502470314067,1.4111335187980283,1781.3968115373527,3572.7936230747055,3612.3110608373863,,,
1,lightgbm,opbgb_symmetric,True,,,,,,,,,,,,,0.35,0.35,0.1057339638874092
1,lightgbm,opbgb_two_sided,True,,,,,,,,,,,,,0.35,0.25,0.10553838283673413
1,lightgbm,nested_selected,True,,,,,,,,,,,,,0.35,0.25,0.10553838283673413
1,xgboost,raw,True,,,,,,,,,,,,,,,
1,xgboost,platt,True,0.43624217161792517,1.1364830224170586,,,,,,,,,,,,,
1,xgboost,beta,True,0.5112229221345577,,1.1571692816558394,-1.0398469961921186,,,,,,,,,,,
1,xgboost,isotonic,True,,,,,76.0,,,,,,,,,,
1,xgboost,bgb,True,,,1.4300136594459738,,,0.555671287877353,0.815582748180315,0.8946728075390646,1.1389757383816765,1728.7764438569982,3467.5528877139964,3507.070325476677,,,
1,xgboost,opbgb_symmetric,True,,,,,,,,,,,,,0.7,0.7,0.10623067358448347
1,xgboost,opbgb_two_sided,True,,,,,,,,,,,,,0.5,0.25,0.10573173836043093
1,xgboost,nested_selected,True,,,,,,,,,,,,,0.5,0.25,0.10573173836043093
2,logistic,raw,True,,,,,,,,,,,,,,,
2,logistic,platt,True,-3.4376709286351597,0.9981672647871529,,,,,,,,,,,,,
