model,calibration,metric,n_units,unit,mean,sd,median,q1,q3,min,max,resampling_interval_low,resampling_interval_high,resamples_enumerated,interval_interpretation
lightgbm,beta,brier,4,temporal fold,0.02399082820003115,0.001359105033705985,0.0240562133380299,0.02339165151582115,0.0246553900222399,0.0222902892079684,0.0255605969160964,0.0228061305037149,0.02511014075834865,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,beta,logloss,4,temporal fold,0.09768685916519151,0.0042513950211712824,0.09766357385040089,0.09607778428124927,0.09927264873434315,0.0925187181486295,0.1029015708113348,0.09390479062197528,0.1014922130231984,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,beta,ece,4,temporal fold,0.0062636941031469,0.0030621072136626077,0.0051519541964689,0.004785929966999625,0.006629718332616176,0.0039719279642355,0.0107789400554143,0.004290607079430825,0.009348521033540976,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,beta,ici,4,temporal fold,0.0066531311074934,0.002974067567583647,0.00544757695757725,0.005146846920795775,0.0069538611442748754,0.0046425849576628,0.0110747855571563,0.0048769936365757,0.00963482272832725,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,beta,cal_intercept,4,temporal fold,-0.2180568388004775,0.4102912481329788,-0.11080067966306484,-0.4103110455156347,0.08145352705209233,-0.7693404319731697,0.1187144360973894,-0.559747017970629,0.09387383006719136,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,beta,cal_slope,4,temporal fold,0.9225981862707631,0.08018228358575533,0.9342731981485768,0.8766051311005534,0.9802662533187865,0.8226214204724347,0.9992249283134642,0.8586105608911805,0.9865858116503456,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,beta,oe_ratio,4,temporal fold,0.9800741808598791,0.14906185445189696,1.0293589601191377,0.921771951990281,1.0876611889887358,0.7722435672647643,1.089335235936476,0.8509584687834455,1.0882192046379826,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,bgb,brier,4,temporal fold,0.02401645597969445,0.0013359002033721593,0.0240551595671013,0.023410292706886576,0.024661322839909173,0.0223699286788929,0.0255855761056823,0.022865756113665873,0.025128452258316173,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,bgb,logloss,4,temporal fold,0.09772858847605703,0.004220175142180618,0.09766828832262364,0.09610316817294982,0.09929370862573085,0.0926372283680814,0.1029405488908994,0.09399744507706305,0.10152003202848439,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,bgb,ece,4,temporal fold,0.006325414345655549,0.003196955235622009,0.00513120480571235,0.00477391260260835,0.00668270654875955,0.0039884203473444,0.0110508274238531,0.004297981824773724,0.009547056406480575,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,bgb,ici,4,temporal fold,0.006699529841918325,0.0031133809753889647,0.00545101286930645,0.005145342734631625,0.00700519997659315,0.0045703066922722,0.0113257869367882,0.004818981100002851,0.009828595556445675,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,bgb,cal_intercept,4,temporal fold,-0.21422291237945995,0.4039994584932072,-0.109812022139988,-0.40588436931405025,0.0818494347946023,-0.7554146024202448,0.118146997182381,-0.5491233899821812,0.09394862225719519,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,bgb,cal_slope,4,temporal fold,0.9242812968456788,0.07794505229165162,0.9345223179148274,0.8783580094634923,0.9804456052970141,0.8283450807494231,0.9997354708036374,0.8616870332254692,0.9868755604658885,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,bgb,oe_ratio,4,temporal fold,0.9794463531341868,0.1493257418749467,1.0296472692547443,0.9215767468350738,1.0875168755538573,0.7709442778104025,1.0875465962168562,0.8500849505243495,1.0875267824415236,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,isotonic,brier,4,temporal fold,0.0241516189100116,0.0012347680110461735,0.02417732163661335,0.02352636702798625,0.0248025735186387,0.0226579267503526,0.0255939056164671,0.023128144100938428,0.025149390992483027,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,isotonic,logloss,4,temporal fold,0.10153771456425917,0.005036337575335407,0.10346756511614645,0.10051253551077932,0.10449274416962631,0.0941389841483737,0.1050767438763701,0.0966787575114582,0.1046874107385409,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,isotonic,ece,4,temporal fold,0.0059904161991246995,0.0029848236960053447,0.00462952695745905,0.0044809740010024,0.00613896915558135,0.0042440755872268,0.0104585352943539,0.004357835134417725,0.008983886505497325,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,isotonic,ici,4,temporal fold,0.007089925041206225,0.003064759603223279,0.00581412875901165,0.00546580912880215,0.007438244671415725,0.0050816230578562,0.0116498195889454,0.005319813884785275,0.01013583247982175,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,isotonic,cal_intercept,4,temporal fold,-0.3861035852991047,0.36803055168654053,-0.35467181437773226,-0.6317073928658588,-0.10906800681097818,-0.8097084005834351,-0.0253623118575193,-0.6910410621050509,-0.08116610849315856,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,isotonic,cal_slope,4,temporal fold,0.8534193288526889,0.07647771074874013,0.8445906293795895,0.7948904313810952,0.9031195268511831,0.7811147459668697,0.9433813106847072,0.7902985362430199,0.9165401214623579,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,isotonic,oe_ratio,4,temporal fold,0.9840370349421659,0.1508253829084292,1.0295328426242334,0.9217284860866282,1.091841391479771,0.7758072937856342,1.1012751607345626,0.8540296707712691,1.0949859812313683,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,nested_selected,brier,4,temporal fold,0.023918983711152024,0.0016355177579313908,0.0241417261745559,0.023232818807782624,0.0248278910779253,0.0217629460906295,0.0256295364048668,0.022462378560208322,0.02515284639869185,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,nested_selected,logloss,4,temporal fold,0.0975638163113661,0.005140576889711363,0.09779327398455545,0.0955388348310897,0.09981825546483185,0.0910945302048717,0.1035741870714818,0.09296246721930757,0.10193570773023528,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,nested_selected,ece,4,temporal fold,0.006214757083474875,0.0016160776470185644,0.00605125785458755,0.005432958549117175,0.00683305638894525,0.0044333078643859,0.0083232047603385,0.0049090659645763,0.007683947431260775,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,nested_selected,ici,4,temporal fold,0.0068318394057766,0.0017904495326766172,0.0062779516450417495,0.006018806261951675,0.007090984788866675,0.0053378142057854,0.0094336401272375,0.00558088557335815,0.0086366809989299,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,nested_selected,cal_intercept,4,temporal fold,-0.055392686227919374,0.3809407304110387,-0.04266966451023915,-0.24319678378962878,0.14513443305147025,-0.5217162545888914,0.3854848386976921,-0.3750327831493194,0.25152438897580043,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,nested_selected,cal_slope,4,temporal fold,0.9700639442710424,0.06054127986622115,0.9544513176791107,0.9370212772059784,0.9874939847441748,0.9156468347201232,1.0557063070058252,0.9279242620376653,1.0278162530963515,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,nested_selected,oe_ratio,4,temporal fold,1.0214681623046944,0.18120789715700678,1.0572377625062428,0.9161438109759815,1.1625621138349558,0.7944076511613704,1.1769894730449215,0.8755650910377778,1.167371233571611,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,opbgb_symmetric,brier,4,temporal fold,0.023997154119934402,0.0013513253446496905,0.02405570950775395,0.0233983217237387,0.02465454190394965,0.0223122458125448,0.0255649516516849,0.022821952356418075,0.025113800495631177,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,opbgb_symmetric,logloss,4,temporal fold,0.09769241901995934,0.004240667334023541,0.0976702995749305,0.09612786187472555,0.0992348567201643,0.0925322964327896,0.1028967804971868,0.0939027761898814,0.10150418129506615,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,opbgb_symmetric,ece,4,temporal fold,0.0064067809513987505,0.003092473407339547,0.0053996688822499,0.004478165959095575,0.0073282838745530755,0.0039872031228197,0.0108405829182755,0.00431451168033695,0.009290892248170176,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,opbgb_symmetric,ici,4,temporal fold,0.006762676104473926,0.002978220246364704,0.00566037881789735,0.0050433663987966,0.0073796885235746755,0.004600908430026,0.011129038352075,0.0048958804092064,0.00964449186115295,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,opbgb_symmetric,cal_intercept,4,temporal fold,-0.20497630911191578,0.40468045039002265,-0.08843601718818285,-0.37433527008189926,0.08092294378180062,-0.7618874304172705,0.1188542283459731,-0.5543457772478504,0.09356670530319144,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,opbgb_symmetric,cal_slope,4,temporal fold,0.9263762075639138,0.07769508466091339,0.9401722528239318,0.8857221957662282,0.9808262646216174,0.8261012683768135,0.999059056230978,0.8632631181372344,0.9869038618247377,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,opbgb_symmetric,oe_ratio,4,temporal fold,0.980278780711535,0.14880116981801889,1.030236674575515,0.9246550607765442,1.0858603945105059,0.7714164377189149,1.0892253359761952,0.8497470151280051,1.0869820416657356,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,opbgb_symmetric_monotone,brier,4,temporal fold,0.023907940481538523,0.00162066301005649,0.0241410272763103,0.023232067009607525,0.024816900748241298,0.0217629460906295,0.025586761282904,0.022462279710477224,0.02512051445782805,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,opbgb_symmetric_monotone,logloss,4,temporal fold,0.09752956456845367,0.0050884356461313954,0.09779203615774751,0.0955367353506102,0.09978486537559098,0.0910945302048717,0.103439655753448,0.0929625481327301,0.10183410941488343,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
