comparison,metric,n_units,mean_difference,median_difference,resampling_interval_low,resampling_interval_high,favorable_units,total_units,exact_signflip_p,standardized_paired_effect_dz,resamples_enumerated,notes
LightGBM - Logistic,PR-AUC,6,0.6547484515725892,0.6327293484955312,0.5956991035659516,0.7235610560375164,6,6,0.03125,7.462667254942866,46656,Sparkov primary setting; repeated seeds averaged within fold.
XGBoost - Logistic,PR-AUC,6,0.6542823053175832,0.6314382602180875,0.5944227704066201,0.7244589523777115,6,6,0.03125,7.330694654304195,46656,Sparkov primary setting; repeated seeds averaged within fold.
XGBoost - LightGBM,PR-AUC,6,-0.0004661462550059429,-0.0007934442735622049,-0.0022730627438181847,0.0015563554431236581,3,6,0.71875,-0.17566079635186668,46656,Sparkov primary setting; repeated seeds averaged within fold.
XGBoost - LightGBM,PR-AUC,4,0.023014767811679826,0.021903353445763718,0.019515748095575075,0.027625201893700685,4,4,0.125,4.833680399436372,256,IEEE-CIS temporal folds.
LightGBM - Logistic,PR-AUC,4,0.20957340987862752,0.18047531050477297,0.11691467890577575,0.32497439673699874,4,4,0.125,1.629549437513586,256,IEEE-CIS temporal folds.
XGBoost - Logistic,PR-AUC,4,0.23258817769030732,0.20096946171202665,0.1410408610833717,0.3456255450786602,4,4,0.125,1.836613887360699,256,IEEE-CIS temporal folds.
Logistic BGB - Beta,brier,4,-0.0005451324553202514,-0.00038533489278885086,-0.0013319242314550278,0.0001528397387195006,3,4,0.375,-0.5897557278184672,256,IEEE-CIS logistic calibration; negative favors BGB.
Logistic two-sided monotone OPBGB - Beta,brier,4,-0.0004301117655129503,-6.55807036136491e-05,-0.0013764740597887511,0.00015171946686354937,3,4,0.625,-0.45709219441180843,256,IEEE-CIS logistic calibration; negative favors monotone OPBGB.
Logistic two-sided monotone OPBGB - BGB,brier,4,0.00011502068980730109,-2.5110482570948542e-05,-0.000334514767977025,0.0007046873199698768,2,4,0.875,0.1918996249401559,256,IEEE-CIS logistic calibration; negative favors monotone OPBGB.
LightGBM symmetric monotone OPBGB - Beta,brier,4,-8.288771849262588e-05,-5.416967848800511e-06,-0.0003889662463022773,0.0001457200586732002,2,4,0.75,-0.26416611530111195,256,IEEE-CIS LightGBM calibration; negative favors monotone OPBGB.
XGBoost two-sided monotone OPBGB - Beta,brier,4,-8.92066488487487e-05,5.6206667954000755e-05,-0.00046439704912057313,0.0001405704346203263,1,4,1.0,-0.234390738764032,256,IEEE-CIS XGBoost calibration; negative favors monotone OPBGB.
Logistic BGB - Beta,logloss,4,-0.007536565879921495,-0.0018789257050248961,-0.019993864438160442,-0.0005767004592609967,4,4,0.125,-0.6002022486831399,256,IEEE-CIS logistic calibration; negative favors BGB.
Logistic two-sided monotone OPBGB - Beta,logloss,4,-0.006628505262719072,-0.0007629407275961883,-0.01996980858589934,0.0008472335253383138,3,4,0.5,-0.5004668362319932,256,IEEE-CIS logistic calibration; negative favors monotone OPBGB.
Logistic two-sided monotone OPBGB - BGB,logloss,4,0.0009080606172024233,-3.8015285299952684e-06,-0.00034064765928189245,0.0030686310394191577,2,4,0.875,0.4192117262748047,256,IEEE-CIS logistic calibration; negative favors monotone OPBGB.
LightGBM symmetric monotone OPBGB - Beta,logloss,4,-0.0001572945967378489,0.00012846230734660236,-0.000942242489245175,0.0005208394082029527,2,4,0.875,-0.17117025738874816,256,IEEE-CIS LightGBM calibration; negative favors monotone OPBGB.
XGBoost two-sided monotone OPBGB - Beta,logloss,4,-0.00020504811663460062,2.1661057356472946e-06,-0.0011098104303073689,0.0004924999746679197,2,4,0.875,-0.2093478870448038,256,IEEE-CIS XGBoost calibration; negative favors monotone OPBGB.
