dataset,model,metric,n_units,unit,mean,sd,median,q1,q3,min,max,resampling_interval_low,resampling_interval_high,resamples_enumerated,interval_interpretation
Sparkov,lightgbm,pr_auc,6,temporal fold,0.9727630871784735,0.009386674431645781,0.9772462476532535,0.9656697547772666,0.9793649474885185,0.959522261167459,0.9806816620113309,0.9659385330980262,0.9791551043868826,46656,finite empirical fold-resampling sensitivity interval; not population-level coverage
Sparkov,lightgbm,roc_auc,6,temporal fold,0.9995121507650593,0.0003501741845467006,0.9996947146996454,0.9994113692251871,0.9997015414286494,0.9988799878721506,0.9997827495802281,0.9992271373164971,0.99972652894124,46656,finite empirical fold-resampling sensitivity interval; not population-level coverage
Sparkov,lightgbm,brier,6,temporal fold,0.0004136194719150167,0.00010376695361099987,0.00043795176576940005,0.00036871264190485,0.00046778132178880005,0.00024326014189809999,0.0005391957169746,0.0003337588339596416,0.0004829288788396084,46656,finite empirical fold-resampling sensitivity interval; not population-level coverage
Sparkov,lightgbm,logloss,6,temporal fold,0.0017577600070416168,0.00042216287802634826,0.001867171879124375,0.0015660715709574,0.00206320170802075,0.0010517590893412499,0.00216620740877175,0.0014288864359341,0.0020404676337579413,46656,finite empirical fold-resampling sensitivity interval; not population-level coverage
Sparkov,lightgbm,precision_0.005,6,temporal fold,0.7771402399735408,0.22510982876370905,0.8463023463023462,0.7287215691285458,0.9175500931966449,0.36246418338108877,0.9769452449567724,0.5956588811173338,0.9156993886572541,46656,finite empirical fold-resampling sensitivity interval; not population-level coverage
Sparkov,lightgbm,recall_0.005,6,temporal fold,0.9500833948644477,0.036604621724910545,0.9542431407874489,0.9459513010811801,0.9758265620622023,0.8828125,0.9829931972789115,0.9205231086539158,0.9727722942170236,46656,finite empirical fold-resampling sensitivity interval; not population-level coverage
Sparkov,lightgbm,value_capture_0.005,6,temporal fold,0.9800499358583427,0.020277580670600828,0.9865719929460346,0.9698662230731605,0.9947882485323821,0.9466061439880983,0.9987248517598556,0.9642579795595256,0.9935230158744561,46656,finite empirical fold-resampling sensitivity interval; not population-level coverage
Sparkov,lightgbm,value_capture_0.01,6,temporal fold,0.9972303316455552,0.002505504077196478,0.9976715314564234,0.9949908095982591,0.9993185164083166,0.9942613008451513,0.9998128790775146,0.995398044382242,0.9989735533537262,46656,finite empirical fold-resampling sensitivity interval; not population-level coverage
Sparkov,logistic,pr_auc,6,temporal fold,0.31801463560588444,0.09549856475437836,0.3474561145572948,0.272279872796055,0.37822421232296444,0.16022045859118994,0.4172537554756976,0.24323820470685018,0.3818122922675438,46656,finite empirical fold-resampling sensitivity interval; not population-level coverage
Sparkov,logistic,roc_auc,6,temporal fold,0.9665233753735837,0.009530307658623886,0.9688866336511966,0.9592669108239757,0.9718803797189735,0.953938349322345,0.9784900039936295,0.9596350312128346,0.9733153806466063,46656,finite empirical fold-resampling sensitivity interval; not population-level coverage
Sparkov,logistic,brier,6,temporal fold,0.003165017241068758,0.0006875656710251162,0.0033288847189396247,0.0031013386906124374,0.0035294252156745126,0.0018754753400571,0.00383509660605335,0.0026194208088175168,0.003581789826663783,46656,finite empirical fold-resampling sensitivity interval; not population-level coverage
Sparkov,logistic,logloss,6,temporal fold,0.01280515935892855,0.0022618108905422237,0.01365742902271445,0.012697942671365987,0.013965761638246426,0.00843268865719435,0.014636756386607799,0.010959698120132049,0.014102551698063749,46656,finite empirical fold-resampling sensitivity interval; not population-level coverage
Sparkov,logistic,precision_0.005,6,temporal fold,0.4123901030987102,0.1157510184178506,0.44782076032076024,0.38372731919243547,0.47393406337371846,0.2034383954154728,0.5302593659942363,0.32149941748795613,0.48598839459542026,46656,finite empirical fold-resampling sensitivity interval; not population-level coverage
Sparkov,logistic,recall_0.005,6,temporal fold,0.5069994669444325,0.031547059008373964,0.49013652189847895,0.4882379987238674,0.5309573829531813,0.4791666666666667,0.5503875968992248,0.4857866043613707,0.5290847925982759,46656,finite empirical fold-resampling sensitivity interval; not population-level coverage
Sparkov,logistic,value_capture_0.005,6,temporal fold,0.6556534115712731,0.03958427037141695,0.6501927196810617,0.626643428202723,0.6678362244210101,0.6166652784380173,0.7243586945832284,0.6294233942125879,0.6866770478084162,46656,finite empirical fold-resampling sensitivity interval; not population-level coverage
