comparison,metric,n_random,n_temporal,mean_difference,resampling_interval_low,resampling_interval_high,relative_difference_percent,relative_interval_low,relative_interval_high,resample_combinations_enumerated,dependence_status,inferential_status
Random - temporal (logistic),pr_auc,4,4,0.11691640419857746,0.004691043631342706,0.2278363517264385,39.065973639723964,1.1462653402494392,119.52491027474805,65536,random replicates overlap in transactions and are not independent experimental units,descriptive sensitivity analysis only; no independent-sample p-value or Hedges g
Random - temporal (logistic),brier,4,4,-0.008118252786508705,-0.02178918253529972,-0.000412599596119851,-23.97653282439844,-45.78150843673038,-1.578334182140954,65536,random replicates overlap in transactions and are not independent experimental units,descriptive sensitivity analysis only; no independent-sample p-value or Hedges g
Random - temporal (logistic),logloss,4,4,-0.0621995729172512,-0.17036957192809093,-0.004895351011005869,-36.47451268483886,-61.14154202257408,-4.3049414534999855,65536,random replicates overlap in transactions and are not independent experimental units,descriptive sensitivity analysis only; no independent-sample p-value or Hedges g
Random - temporal (logistic),value_capture_0.01,4,4,0.049858271445614694,0.013136083722385408,0.10463702308378496,57.51818939356934,11.520190468268053,321.3292927310668,65536,random replicates overlap in transactions and are not independent experimental units,descriptive sensitivity analysis only; no independent-sample p-value or Hedges g
Random - temporal (lightgbm),pr_auc,4,4,0.18823316772038956,0.15672714064080695,0.22121088048479326,36.99167440805739,29.033541032883424,46.231011527007716,65536,random replicates overlap in transactions and are not independent experimental units,descriptive sensitivity analysis only; no independent-sample p-value or Hedges g
Random - temporal (lightgbm),brier,4,4,-0.005661759641762847,-0.006640506377233599,-0.004460869138897625,-24.919068324647885,-28.08509396492303,-20.73117179639785,65536,random replicates overlap in transactions and are not independent experimental units,descriptive sensitivity analysis only; no independent-sample p-value or Hedges g
Random - temporal (lightgbm),logloss,4,4,-0.024656928974685438,-0.02793820399692723,-0.0209625851185027,-26.238277878413715,-28.80683596907376,-23.18101284749014,65536,random replicates overlap in transactions and are not independent experimental units,descriptive sensitivity analysis only; no independent-sample p-value or Hedges g
Random - temporal (lightgbm),value_capture_0.01,4,4,0.03390093079445705,0.004572412244902874,0.057903517514688724,23.445139136986928,2.6296526684265666,45.138412269361545,65536,random replicates overlap in transactions and are not independent experimental units,descriptive sensitivity analysis only; no independent-sample p-value or Hedges g
Random - temporal (xgboost),pr_auc,4,4,0.17174758075142738,0.13668144753325784,0.20840453825028515,32.29141876693586,24.20032915516917,41.999450485670934,65536,random replicates overlap in transactions and are not independent experimental units,descriptive sensitivity analysis only; no independent-sample p-value or Hedges g
Random - temporal (xgboost),brier,4,4,-0.005576694849878577,-0.0066907890141010735,-0.00437088822945955,-25.191045354483784,-28.889608615908276,-20.76440538918588,65536,random replicates overlap in transactions and are not independent experimental units,descriptive sensitivity analysis only; no independent-sample p-value or Hedges g
Random - temporal (xgboost),logloss,4,4,-0.02166846767067912,-0.025241745635867147,-0.017703242599964183,-23.694276643838,-26.691161117896513,-20.136961145527064,65536,random replicates overlap in transactions and are not independent experimental units,descriptive sensitivity analysis only; no independent-sample p-value or Hedges g
Random - temporal (xgboost),value_capture_0.01,4,4,0.034784273587273984,0.008135846771673061,0.06118286123946226,21.846644118825548,4.753772836180061,41.36435083684268,65536,random replicates overlap in transactions and are not independent experimental units,descriptive sensitivity analysis only; no independent-sample p-value or Hedges g
