model,calibration,pr_auc_mean,pr_auc_sd,brier_mean,logloss_mean,ece_mean,ici_mean,cal_intercept_mean,cal_slope_mean,oe_ratio_mean
lightgbm,beta,0.5032047763334765,0.0684400291324558,0.0239908282000311,0.0976868591651915,0.0062636941031469,0.0066531311074934,-0.2180568388004774,0.9225981862707632,0.980074180859879
lightgbm,bgb,0.5032047763334765,0.0684400291324558,0.0240164559796945,0.097728588476057,0.0063254143456556,0.0066995298419183,-0.2142229123794599,0.924281296845679,0.9794463531341868
lightgbm,opbgb_symmetric,0.502763334245202,0.0682454998848563,0.0239971541199344,0.0976924190199594,0.0064067809513987,0.0067626761044739,-0.2049763091119157,0.926376207563914,0.9802787807115352
lightgbm,opbgb_two_sided,0.5027633100284774,0.0682455198923375,0.0240099736641477,0.0977456505042212,0.0064011677563856,0.00677078197986,-0.1974733019321382,0.927766282772237,0.9824062421643912
lightgbm,platt,0.5032047763334765,0.0684400291324558,0.0239982253778317,0.0977385700215942,0.0061720432920355,0.0067786166715197,-0.2108429513968588,0.9260955136383312,0.9810345996460376
lightgbm,raw,0.5032047763334765,0.0684400291324558,0.0957238351585956,0.3305914082115906,0.2170769294006528,0.2170818535236672,-2.9947959837086837,1.1374873272273955,0.1433871132580986
logistic,beta,0.2471117652342109,0.1059026396428538,0.032082149159449,0.134498741482249,0.0093037545687162,0.0107176178314881,-0.355164634668185,0.905506468476413,0.9476575298715972
logistic,bgb,0.247111765234211,0.1059026396428539,0.0315370167041287,0.1269621756023275,0.0077901485256503,0.0089482527388456,-0.140681829526479,0.9716959937024968,0.9609131872837408
logistic,opbgb_symmetric,0.2529697403786138,0.1003273253466408,0.0309907469053414,0.1259270948533405,0.0083206582668323,0.0097864119321776,0.0156108739835689,1.026002848876446,0.9706332255918496
logistic,opbgb_two_sided,0.2600889560926031,0.0931614997031672,0.0311642643119475,0.1260097953673647,0.0081366611178552,0.0094145044204957,-0.0458693272910114,1.0037002522698717,0.969708375020904
logistic,platt,0.2471117652342109,0.1059026396428539,0.0328194988788953,0.1509295808491619,0.0111069828118802,0.0137732871293827,-0.7109070699281784,0.7934905015006795,0.9585928448165753
logistic,raw,0.2471117652342109,0.1059026396428539,0.2054252603921423,0.6430089681949391,0.3884799509312271,0.3884799510254786,-3.450881762244367,0.6803401911571757,0.0854862261847513
xgboost,beta,0.5229011929837568,0.0617987737599826,0.0235148800968447,0.0964873739176986,0.0054105012210305,0.0061320605859511,-0.1849482678048264,0.931251641759256,0.9887109014073066
xgboost,bgb,0.5229011929837568,0.0617987737599826,0.0235523428603265,0.0965942701930923,0.0053776536595757,0.0061981361705388,-0.1783731477397114,0.9331388516748492,0.9906852264982092
xgboost,opbgb_symmetric,0.5229011929837568,0.0617987737599826,0.0235224917944767,0.0966469251222685,0.0056294385276491,0.0064936182346632,-0.1684120186730016,0.9372912668586888,0.9890988301563196
xgboost,opbgb_two_sided,0.5229011929837568,0.0617987737599826,0.0235055006040803,0.0964930108496667,0.0053597958206788,0.0063694908445933,-0.1627454960349807,0.9387154506205372,0.989385031409484
xgboost,platt,0.5229011929837568,0.0617987737599826,0.0235191768413124,0.0967936481896215,0.0055340848157759,0.0063093732855037,-0.206238914814455,0.927074024427149,0.9906335683528475
xgboost,raw,0.5229011929837568,0.0617987737599826,0.0234357372186132,0.0973303785300862,0.0086676339277578,0.0091528090501959,-0.1575069559490915,1.0257513450686302,0.8790286166012783
